n|rsc|name|format|dateCr|dateMo|id|size
372|demographics-br7|לפי עולים וותיקים - XML|XML|2021-01-24|2023-03-06|374bcf4a-660e-4c66-8495-f4d8e5fc2fb7|34689
372|demographics-br7|לפי קבוצות גיל - XLSX|XLSX|2021-01-24|2023-03-06|8e12943b-a173-432c-b8d1-458e89bf2584|10026
372|demographics-br7|לפי קבוצות גיל - JSON|JSON|2021-01-24|2023-03-06|4e367398-c539-4bde-b477-6fd577d0a676|16905
372|demographics-br7|לפי קבוצות גיל - XML|XML|2021-01-24|2023-03-06|dcb47499-a6aa-4d21-828d-3fcca699de4e|44102
373|depo_lrt_metro|DEPO_LRT_METRO_SHP|SHP|2020-10-29|2020-10-29|fc97ea96-0e81-4221-bd91-b28a91395926|8711
373|depo_lrt_metro|DEPO_LRT_METRO_KMZ|KMZ|2020-10-29|2020-10-29|67188d1e-5ea2-45dc-be8f-8f4675edf309|494
373|depo_lrt_metro|DEPO_LRT_METRO_csv|CSV|2020-10-29|2020-11-26|1373a7ca-3ef8-48d4-9e11-24c80755bdd9|1296
373|depo_lrt_metro|מטאדאטה|PDF|2020-10-29|2020-10-29|ca48c90d-71e8-49e3-969b-bdfb17a1aa43|146867
374|desalination|כמויות מים ממתקני התפלה 2016-2019|CSV|2020-05-11|2020-05-11|f4481461-0877-4be8-88b8-ee5a42ff3d00|7995
374|desalination|כמויות מים ממפעלי התפלה 2020-2021|CSV|2022-10-25|2022-10-25|72d62881-e4a5-47b6-a30d-f6f01bcaf286|6102
375|designs|עיצובים (מדגמים)|CSV|2019-10-23|2023-03-24|872090a0-9f93-4853-a0c3-5ebafa112a3d|7845203
376|digumi_arubut|digumi_arubut.csv|CSV|2020-09-03|2020-09-03|d8b6d9dd-12b3-4f79-b900-5e171debdf51|159296
378|distance|DISTANCE.zip|ZIP|2021-09-01|2022-08-15|bc5293d3-1023-4d9e-bdbe-082b58f93b65|47843776
378|distance|ReadMe.zip|ZIP|2021-09-01|2022-08-15|05e53d01-d507-4625-a606-1adb820e78a2|646154
378|distance|SETL_JUNC.zip|ZIP|2021-09-01|2022-08-15|b282b438-0066-47c6-b11f-8277b3f5a0dc|12635
379|diurtziburi|דירות פנויות בדיור הציבורי|CSV|2022-06-27|2023-03-24|c3a68837-9b7a-4ee7-bd92-130678dc8ae3|8436
379|diurtziburi|מלאי הדירות בדיור הציבורי|CSV|2022-06-27|2023-03-24|ece87d7d-d79f-4278-8559-921218bc2b6a|16228
379|diurtziburi|רכש דירות למלאי הדיור הציבורי|CSV|2022-12-07|2023-03-23|d6d2046b-ccba-4d09-8778-ee9aa57cdf0c|6428
379|diurtziburi|מסמך הסבר - מאגר דירות הדיור הציבורי|PDF|2022-12-11|2022-12-11|ab8d68f9-4d31-4a43-8edb-e9b5fa343c08|85475
380|dmn|תצלום אויר 2015 2 מטר - גליון דימונה|ZIP|2017-11-01|2017-11-01|b6c7cf4b-984d-45b2-b715-2727c42560ae|None
381|dog-gardens-br7|GeoJSON|GeoJSON|2017-07-09|2023-03-06|22c45eb6-a93b-41d9-aed7-56488ad987b6|22587
381|dog-gardens-br7|SHP|ZIP|2017-07-12|2023-03-06|cf217872-1db5-4737-89da-38adc677df28|6397
381|dog-gardens-br7|CSV|CSV|2019-12-04|2023-03-06|4b6e3408-afbe-4ea3-8b69-11d98233ffe7|1456
381|dog-gardens-br7|XLSX|XLSX|2019-12-04|2023-03-06|e8dc2133-46a5-44cb-8771-3b3ef5025b91|6104
381|dog-gardens-br7|XML|XML|2017-07-11|2023-03-06|7afd3308-7632-4a6c-8dfc-de94bbee83ae|4560
381|dog-gardens-br7|JSON|JSON|2019-12-30|2023-03-06|c7f077bc-ea6d-42ab-89c5-b84bc7ee7f76|2541
381|dog-gardens-br7|GeoXML|XML|2019-12-30|2023-03-06|6c577dd9-2b8b-4ee1-a2bb-977155e89735|32446
381|dog-gardens-br7|KML|KML|2020-08-02|2023-03-06|82ba023e-17e9-4f89-809c-ebf3c57c074d|12395
